anio,crecimiento_nominal,tasa_efectiva,balance_primario,sfa_identificado,valorizacion_otros,ajuste_conciliacion,sfa_total,deuda_oficial,naturaleza,escenario,deuda_rezagada,efecto_interes_crecimiento,efecto_balance_primario,efecto_sfa_identificado,efecto_valorizacion_otros,efecto_ajuste_conciliacion,efecto_sfa,deuda_pib,cambio_deuda,balance_primario_estabilizador,brecha_primaria,distancia_nivel_prudente
2035,0.051,0.04987372970581054,0.003,0.003,0.0025,0.0,0.0055,,Supuesto editable,Mayor tasa de interés,0.46931196928886265,-0.000502923053965359,-0.003,0.003,0.0025,0.0,0.0055,0.4713090462348973,0.001997076946034626,0.004997076946034641,-0.001997076946034641,-0.021309046234897266
2027,0.0416007991920257,0.0306840149359242,-0.0022143254480064,0.0078141858627845,0.003161772030915,-0.0004062496008887528,0.0105697082928109,0.431920170231312,Calibración a trayectoria oficial compatible con la meta,Menor esfuerzo fiscal,0.426607312003057,-0.0044711755125623,0.0022143254480064,0.0078141858627845,0.003161772030915,-0.0004062496008887528,0.0105697082928109,0.434920170231312,0.008312858228255,0.0060985327802485,-0.0083128582282549,0.0150798297686879
2028,0.0459652303136017,0.0322077311498313,-0.0019836473763771,0.0071524197144158,0.0053845026022037,-0.00102120093279,0.0115157213838296,0.436738526651375,Calibración a trayectoria oficial compatible con la meta,Menor esfuerzo fiscal,0.434920170231312,-0.0057204711063581,0.0019836473763771,0.0071524197144158,0.0053845026022037,-0.00102120093279,0.0115157213838296,0.4426990678851606,0.0077788976538485,0.0057952502774714,-0.0077788976538486,0.0073009321148393
2029,0.0478271712543234,0.033028346339188,-0.000992240068458391,0.0063290488730396,0.0063391095959625,-0.0014306657287935,0.0112374927402086,0.439800050458675,Calibración a trayectoria oficial compatible con la meta,Menor esfuerzo fiscal,0.4426990678851606,-0.0062523917831636,0.000992240068458391,0.0063290488730396,0.0063391095959625,-0.0014306657287935,0.0112374927402086,0.4486764089106639,0.0059773410255033,0.0049851009570449,-0.0059773410255033,0.001323591089336
2030,0.0492406667035294,0.0324896951772417,-0.0007801296687679369,0.0054096118408213,0.0064065347029131,-0.0015361505042695,0.0102799960394649,0.440838833631988,Calibración a trayectoria oficial compatible con la meta,Menor esfuerzo fiscal,0.4486764089106639,-0.0071630522802669,0.0007801296687679369,0.0054096118408213,0.0064065347029131,-0.0015361505042695,0.0102799960394649,0.4525734823386299,0.0038970734279659,0.0031169437591979,-0.0038970734279658,-0.0025734823386298
2031,0.051,0.032,-0.002,0.005,0.0045,0.0,0.0095,,Supuesto editable,Menor esfuerzo fiscal,0.4525734823386299,-0.0081816328871873,0.002,0.005,0.0045,0.0,0.0095,0.4558918494514425,0.0033183671128126,0.0013183671128126,-0.0033183671128126,-0.0058918494514424
2032,0.051,0.033,-0.0015,0.0045,0.004,0.0,0.0085,,Supuesto editable,Menor esfuerzo fiscal,0.4558918494514425,-0.0078078527974557,0.0015,0.0045,0.004,0.0,0.0085,0.4580839966539868,0.0021921472025442,0.0006921472025442901,-0.0021921472025442,-0.0080839966539867
2033,0.051,0.034,-0.001,0.004,0.0035,0.0,0.0075,,Supuesto editable,Menor esfuerzo fiscal,0.4580839966539868,-0.0074095413350311,0.001,0.004,0.0035,0.0,0.0075,0.4591744553189557,0.0010904586649688,9.045866496887756e-05,-0.0010904586649688,-0.0091744553189556
2034,0.051,0.035,-0.0005,0.0035,0.003,0.0,0.0065,,Supuesto editable,Menor esfuerzo fiscal,0.4591744553189557,-0.0069902866651791,0.0005,0.0035,0.003,0.0,0.0065,0.4591841686537765,9.713334820860007e-06,-0.0004902866651791422,-9.71333482085784e-06,-0.0091841686537765
2035,0.051,0.036,0.0,0.003,0.0025,0.0,0.0055,,Supuesto editable,Menor esfuerzo fiscal,0.4591841686537765,-0.0065535323785029,-0.0,0.003,0.0025,0.0,0.0055,0.4581306362752736,-0.0010535323785029,-0.0010535323785029,0.0010535323785029,-0.0081306362752736
